Weight,ID,starttime,endtime,profile_GOR,profile_gross_household,responsible,consent,squarefootage,bedrooms,whenbuilt,profile_house_tenure,address_change_time,profile_household_size,under16sinhousehold,over75sinhousehold,EPCrating,SchemesAwareness_1,SchemesAwareness_2,SchemesAwareness_3,SchemesAwareness_4,SchemesAwareness_5,SchemesAwareness_6,SchemesAwareness_7,CircumstancesLikelihood_1,CircumstancesLikelihood_2,CircumstancesLikelihood_3,CircumstancesLikelihood_4,CircumstancesLikelihood_5,AdoptionLikelihood,AdoptionLikelihood_1,AdoptionLikelihood_2,AdoptionLikelihood_3,AdoptionLikelihood_4,AdoptionLikelihood_5,adoptedmeasures_1,adoptedmeasures_2,adoptedmeasures_3,adoptedmeasures_4,adoptedmeasures_5,adoptedmeasures_6,adoptedmeasures_7,adoptedmeasures_8,adoptedmeasures_9,adoptedmeasures_10,adoptedmeasures_11,adoptedmeasures_12,adoptedmeasures_13,adoptedmeasures_14,house_type,housetype_nomiss,_mi_miss,_1_house_type2,_1_whenbuilt2,_1_bedrooms,_1_hhsize,_1_old75,_1_minor16,_1_income,_1_address_change_time,age,profile_gender,profile_socialgrade,profile_education_level,pastvote_ge_2019,_merge15,income,tenure,minor16,old75,hhsize,whenbuilt2,awarenessum,house_type2,treated,treatedsum,sumlowcost,lowcostdummy,sumhighcost,highcostdummy,treatedmulti
0.793499495,1810,7/26/2022,7/26/2022,11,3.0,1,1,2,4.0,2,2,7,3,1,1,4,1,0,0,1,0,0,0,8,9,6,7,7,1,6,8,6,8,8,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3.0,Terraced,0,3.0,2.0,4.0,3.0,0.0,0.0,3.0,7.0,51,1,5,9,4.0,Matched (3),3.0,1.0,0,0,3.0,2.0,2,3.0,1,2,0,0,2,1,2.0
4.636733613,1811,7/31/2022,7/31/2022,3,4.0,1,1,1,,2,4,7,1,1,1,9,0,0,0,0,0,0,0,4,4,4,4,4,1,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,Terraced,1,3.0,2.0,3.9582078,1.0,0.0,0.0,4.0,7.0,43,1,4,9,,Matched (3),4.0,2.0,0,0,1.0,2.0,0,3.0,0,0,0,0,0,0,0.0
1.20040295,1812,7/28/2022,7/28/2022,6,14.0,1,1,4,5.0,1,2,7,3,2,2,9,0,0,0,0,1,1,0,6,6,6,6,6,1,3,1,11,6,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0,Detached,0,1.0,1.0,5.0,3.0,1.0,1.0,14.0,7.0,52,1,3,17,2.0,Matched (3),14.0,1.0,1,1,3.0,1.0,2,1.0,1,2,1,1,1,1,3.0
0.538136565,1813,7/30/2022,7/30/2022,9,5.0,1,1,2,2.0,3,5,7,2,1,1,9,0,0,0,0,1,1,0,6,6,6,6,6,1,9,4,9,8,8,0,0,0,0,0,0,1,0,0,0,0,0,1,0,6.0,Bungalow,0,6.0,3.0,2.0,2.0,0.0,0.0,5.0,7.0,47,0,5,15,,Matched (3),5.0,2.0,0,0,2.0,3.0,2,6.0,1,2,0,0,2,1,2.0
0.879854766,1814,7/26/2022,7/26/2022,4,17.0,1,1,6,4.0,1,4,4,2,1,1,9,0,0,0,0,0,0,0,10,10,10,10,10,1,6,8,6,10,10,1,0,1,1,1,0,1,1,0,0,0,0,1,0,1.0,Detached,1,1.0,1.0,4.0,2.0,0.0,0.0,11.478807,4.0,42,0,4,19,1.0,Matched (3),,2.0,0,0,2.0,1.0,0,1.0,1,7,2,1,5,1,3.0
1.42070604,1815,7/31/2022,7/31/2022,2,7.0,1,1,3,4.0,3,2,7,2,2,1,9,0,0,0,0,0,0,0,9,10,11,9,6,1,11,6,11,8,9,1,0,0,1,0,0,0,0,0,0,0,1,1,0,,,1,2.8619187,3.0,4.0,2.0,0.0,1.0,7.0,7.0,46,1,4,18,,Matched (3),7.0,1.0,1,0,2.0,3.0,0,,1,4,2,1,2,1,3.0
0.955596874,1816,7/30/2022,7/30/2022,6,11.0,1,1,6,4.0,3,2,2,2,1,1,4,0,0,0,0,0,0,0,7,4,4,6,4,1,4,6,6,6,6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2.0,Semi detached,0,2.0,3.0,4.0,2.0,0.0,0.0,11.0,2.0,29,0,4,16,,Matched (3),11.0,1.0,0,0,2.0,3.0,0,2.0,1,2,1,1,1,1,3.0
0.646426266,1817,7/29/2022,7/29/2022,2,4.0,1,1,1,3.0,1,2,4,1,1,1,9,0,0,0,0,1,1,0,1,1,1,1,1,1,1,4,1,1,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3.0,Terraced,0,3.0,1.0,3.0,1.0,0.0,0.0,4.0,4.0,49,0,3,9,2.0,Matched (3),4.0,1.0,0,0,1.0,1.0,2,3.0,1,2,1,1,1,1,3.0
0.621839493,1818,7/27/2022,7/27/2022,9,7.0,1,1,3,4.0,2,1,6,2,2,1,4,0,0,0,0,0,0,0,8,8,7,8,5,1,5,1,11,8,11,1,1,0,0,0,0,0,0,0,0,0,0,1,0,,,1,2.7400298,2.0,4.0,2.0,0.0,1.0,7.0,6.0,32,0,2,17,1.0,Matched (3),7.0,1.0,1,0,2.0,2.0,0,,1,3,2,1,1,1,3.0
1.183199894,1819,7/26/2022,7/26/2022,8,4.0,1,1,6,4.0,1,2,7,2,1,1,9,0,0,0,0,0,0,0,6,6,6,6,6,1,10,2,11,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.0,Maisonette,0,4.0,1.0,4.0,2.0,0.0,0.0,4.0,7.0,59,0,4,16,1.0,Matched (3),4.0,1.0,0,0,2.0,1.0,0,4.0,1,1,0,0,1,1,2.0
0.953490716,1820,7/27/2022,7/27/2022,2,4.0,1,1,6,3.0,3,4,6,2,1,1,9,0,0,0,0,0,0,0,7,6,7,8,7,1,8,4,8,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,Terraced,0,3.0,3.0,3.0,2.0,0.0,0.0,4.0,6.0,44,0,4,14,2.0,Matched (3),4.0,2.0,0,0,2.0,3.0,0,3.0,0,0,0,0,0,0,0.0
0.621839493,1821,7/26/2022,8/2/2022,6,14.0,1,1,6,6.0,4,2,6,4,3,1,4,0,0,0,0,0,1,0,6,6,6,6,6,1,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Detached,0,1.0,4.0,6.0,4.0,0.0,1.0,14.0,6.0,40,0,2,16,1.0,Matched (3),14.0,1.0,1,0,4.0,4.0,1,1.0,0,0,0,0,0,0,0.0
1.509549929,1822,7/26/2022,7/26/2022,4,6.0,1,1,6,4.0,2,1,7,1,1,1,9,0,0,0,0,1,0,0,3,2,3,2,2,1,3,1,3,2,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1.0,Detached,0,1.0,2.0,4.0,1.0,0.0,0.0,6.0,7.0,61,1,4,17,3.0,Matched (3),6.0,1.0,0,0,1.0,2.0,1,1.0,1,2,0,0,2,1,2.0
0.69223907,1823,7/26/2022,7/26/2022,9,17.0,1,1,4,6.0,3,1,6,2,1,1,5,0,0,0,0,0,0,0,1,1,1,1,1,1,11,1,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,Bungalow,1,6.0,3.0,6.0,2.0,0.0,0.0,5.1683645,6.0,70,1,1,18,7.0,Matched (3),,1.0,0,0,2.0,3.0,0,6.0,0,0,0,0,0,0,0.0
0.771306041,1824,7/30/2022,7/30/2022,10,6.0,1,1,6,6.0,4,2,7,6,3,1,4,0,0,0,0,0,0,0,6,6,8,6,5,1,7,5,6,6,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,Detached,0,1.0,4.0,6.0,6.0,0.0,1.0,6.0,7.0,46,0,3,16,2.0,Matched (3),6.0,1.0,1,0,6.0,4.0,0,1.0,1,1,1,1,0,0,1.0
